date,high,low,open,close,volume,quoteVolume,weightedAverage
1669329000000,1.7110,1.7087,1.7087,1.7108,393.8379,673.6467,1.7104
1669330800000,1.7135,1.7088,1.7135,1.7110,545.5605,934.4138,1.7127
1669332600000,1.7100,1.7088,1.7100,1.7098,516.2841,882.7859,1.7098
1669334400000,1.7112,1.7088,1.7098,1.7100,344.0623,588.618,1.7107
1669336200000,1.7101,1.7088,1.7100,1.7101,419.5906,717.3109,1.7095
1669338000000,1.7112,1.7088,1.7110,1.7112,449.9838,769.9436,1.711
1669339800000,1.7112,1.7110,1.7110,1.7112,425.7518,728.5132,1.7111
1669341600000,1.7112,1.7088,1.7110,1.7111,616.4937,1054.8112,1.7109
1669343400000,1.7112,1.7109,1.7111,1.7109,261.3864,447.228,1.7109
1669345200000,1.7111,1.6847,1.7111,1.6855,446.0306,762.123,1.7087
1669347000000,1.6987,1.6600,1.6859,1.6944,620.0773,1039.9793,1.6772
1669348800000,1.6957,1.6945,1.6945,1.6952,696.1221,1180.1093,1.6952
1669350600000,1.7132,1.6900,1.6975,1.6902,375.5811,636.3996,1.6944
1669352400000,1.6949,1.6898,1.6902,1.6945,262.6978,444.4375,1.6918
1669354200000,1.6946,1.6865,1.6946,1.6942,403.4628,683.3773,1.6937
1669356000000,1.6945,1.6940,1.6943,1.6940,474.2578,803.4731,1.6941
1669357800000,1.6942,1.6863,1.6940,1.6871,239.773,405.3846,1.6907
1669359600000,1.6938,1.6868,1.6871,1.6938,627.1138,1060.312,1.6907
1669361400000,1.6939,1.6866,1.6935,1.6888,288.3433,488.1423,1.6929
1669363200000,1.6889,1.6603,1.6887,1.6868,325.5764,545.9695,1.677
1669365000000,1.6885,1.6863,1.6866,1.6865,383.496,646.8567,1.6867
1669366800000,1.6865,1.6845,1.6865,1.6853,552.0687,930.835,1.686
1669368600000,1.6864,1.6841,1.6849,1.6862,540.3341,910.8159,1.6856
1669370400000,1.6863,1.6469,1.6861,1.6501,331.0706,551.0201,1.6645
1669372200000,1.6696,1.6499,1.6499,1.6695,543.3754,900.6464,1.6575
1669374000000,1.6777,1.6691,1.6691,1.6693,933.1157,1564.124,1.6762
1669375800000,1.6825,1.6574,1.6706,1.6689,684.3596,1138.8311,1.664
1669377600000,1.6781,1.6689,1.6689,1.6779,910.5707,1527.1238,1.6771
1669379400000,1.6781,1.6776,1.6781,1.6779,496.1391,832.4736,1.6779
1669381200000,1.6781,1.6779,1.6779,1.6781,472.7869,793.3424,1.678
1669383000000,1.6862,1.6779,1.6779,1.6781,783.5167,1314.7411,1.678
